"id","week","reply","tweet"
"hm3b7","Week 1",NA,"Learning about lambda calculus :)"
"s4lda","Week 2",NA,"I'm moving to East Palo Alto!"
"3JLvN","Week 2","1x52f","@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!"
"hm3b7","Week 5","yLUSs","@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)"
"u3xQt","Week 5","tVYJM","LAKERS tonight let's go!!!!"
"gXTTp","Week 1",NA,"Will the Lakers kick the Nuggets ass tonight?"
"xQLFc","Week 1",NA,"Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p"
"O6lGC","Week 5",NA,"Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;)"
"D1feR","Week 3",NA,"AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]"
"CJpca","Week 2",NA,"Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy."
"j7Bci","Week 4","PADP0","Could go for a lot of McDonalds. i mean A LOT."
"07afq","Week 5",NA,"my exam went good. @HelloLeonie: your prayers worked (:"
"IB4pa","Week 4","KOxaL","Only one exam left, and i am so happy for it :D"
"j7Bci","Week 1",NA,"Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt"
"3JLvN","Week 2",NA,"@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV"
"KOxaL","Week 5",NA,"RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign"
"xQLFc","Week 3",NA,"I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them"
"rlWpN","Week 2",NA,"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it."
"CJpca","Week 4",NA,"Wow everyone at the Google I/O conference got free G2's with a month of unlimited service"
"GNnWT","Week 1",NA,"@vkerkez dood I got a free google android phone at the I/O conference. The G2!"
"tVYJM","Week 1",NA,"@Orli the G2 is amazing btw, a HUGE improvement over the G1"
"j7Bci","Week 3",NA,"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio"
"j7Bci","Week 5","gXTTp","@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!"
"07afq","Week 1",NA,"#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun."
"xQLFc","Week 2",NA,"Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/"
"xQLFc","Week 4","oaxTQ","Night At The Museum 2? Pretty furkin good."
"O6lGC","Week 3","GNnWT","Watching Night at the Museum - giggling."
"j7Bci","Week 3",NA,"just watched night at the museum 2! so stinkin cute!"
"gXTTp","Week 1",NA,"So, Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up."
"25G3c","Week 3",NA,"saw the new Night at the Museum and i loved it. Next is to go see UP in 3D"
"Y01Vp","Week 2","rlWpN","yankees won mets lost. its a good day."
"D1feR","Week 4","1x52f","My dentist appt today was actually quite enjoyable."
"xQLFc","Week 6","1x52f","Just applied at Safeway!(: Yeeeee!"
"1x52f","Week 2","fkUaH","Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes"
"j7Bci","Week 5",NA,"@evelynbyrne have you tried Nike  ? V. addictive."
"3JLvN","Week 4",NA,"The Nike Training Club (beta) iPhone app looks very interesting."
"1r2qs","Week 6",NA,"I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js"
"gXTTp","Week 4",NA,"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga"
"EDFnD","Week 1",NA,"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio"
"fkUaH","Week 3",NA,"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it."
"CJpca","Week 3",NA,"I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis"
"GNnWT","Week 2",NA,"I love my Kindle2. No more stacks of books to trip over on the way to the loo."
"oaxTQ","Week 1",NA,"GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave"
"25G3c","Week 1",NA,"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen"
"s4lda","Week 1","3JLvN","@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky."
"KOxaL","Week 2","u3xQt","The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?"
"i53qc","Week 3","IB4pa","I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha."
"1r2qs","Week 1",NA,"Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!"
"25G3c","Week 4",NA,"Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good."
"rlWpN","Week 5",NA,"can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please."
"gXTTp","Week 1","fkUaH","My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today."
"GNnWT","Week 2",NA,"getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby."
"PADP0","Week 2","25G3c","i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!"
"GDdMt","Week 5",NA,"using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!"
"s4lda","Week 4",NA,"After using LaTeX a lot, any other typeset mathematics just looks hideous."
"u3xQt","Week 2",NA,"Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX."
"rlWpN","Week 2",NA,"Check this video out -- President *** at the White House Correspondents' Dinner http://bit.ly/IMXUM"
"HcpuS","Week 6",NA,"need suggestions for a good IR filter for my canon 40D ... got some? pls DM"
"xQLFc","Week 3",NA,"@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv"
"25G3c","Week 1",NA,"is in San Francisco at Bay to Breakers."
"07afq","Week 1",NA,"just landed at San Francisco"
"25G3c","Week 2",NA,"San Francisco today.  Any suggestions?"
"1x52f","Week 2",NA,"On my way to see Star Trek @ The Esquire."
"xQLFc","Week 3",NA,"Going to see star trek soon with my dad."
"5XnVy","Week 1","Y01Vp","Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50"
"KOxaL","Week 3",NA,"playing with cURL and the Twitter API"
"O6lGC","Week 2",NA,"playing with Java and the Twitter API"
"IB4pa","Week 1","5XnVy","Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding"
"25G3c","Week 1",NA,"'Next time, I'll call myself Nike'"
"EDFnD","Week 3",NA,"New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT"
"yLUSs","Week 2",NA,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
"GDdMt","Week 3",NA,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t"
"Y01Vp","Week 4",NA,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
"1r2qs","Week 2","1x52f","New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo"
"D1feR","Week 4",NA,"jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631"
"1r2qs","Week 1",NA,"At GWT fireside chat @googleio"
"EDFnD","Week 1","07afq","Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8"
"rlWpN","Week 2",NA,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz"
"HcpuS","Week 2",NA,"going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin"
"rlWpN","Week 1","oaxTQ","Just saw the new Night at the Museum movie...it was...okay...lol 7\10"
"25G3c","Week 4",NA,"Going to see night at the museum 2 with tall boy"
"s4lda","Week 5",NA,"I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie."
"s4lda","Week 3",NA,"Taking Katie to see Night at the Museum.  (she picked it)"
"1x52f","Week 4",NA,"GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv"
"hm3b7","Week 2",NA,"Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)"
"07afq","Week 2","GNnWT","Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3"
"yLUSs","Week 2","CJpca","Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n"
"v72w9","Week 2",NA,"myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba"
"yLUSs","Week 4","i53qc","Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv"
"oaxTQ","Week 3",NA,"http://xi.gs/04FO GM CEO: China will continue to be key partner"
"EDFnD","Week 4","gXTTp","RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu"
"i53qc","Week 3","yLUSs","Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?"
"tVYJM","Week 1",NA,"@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml"
"j7Bci","Week 3",NA,"NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx"
"Y01Vp","Week 2","PADP0","just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR"
"O6lGC","Week 4",NA,"Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday."
"KOxaL","Week 2",NA,"Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796"
"GNnWT","Week 5",NA,"waiting in line at safeway."
"1x52f","Week 1","GDdMt","Did not realize there is a gym above Safeway!"
"oaxTQ","Week 5",NA,"@XPhile1908 I have three words for you: ""Safeway dot com"""
"v72w9","Week 3",NA,"Bout to hit safeway I gotta eat"
"tVYJM","Week 2",NA,"Jake's going to safeway!"
"CJpca","Week 3",NA,"Found a safeway. Picking up a few staples."
"HcpuS","Week 1",NA,"Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w"
"u3xQt","Week 5","D1feR","Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O"
"KOxaL","Week 1",NA,"Is Eating and Watching Movies...."
"s4lda","Week 5",NA,"eating sashimi"
"25G3c","Week 1",NA,"is eating  home made yema"
"xQLFc","Week 2",NA,"eating cake"
"D1feR","Week 4","CJpca","iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc"
"HcpuS","Week 3",NA,"Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp"
"EDFnD","Week 3",NA,"RT @jquery: The Ultimate jQuery List - http://jquerylist.com/"
"xQLFc","Week 2",NA,"I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb"
"Y01Vp","Week 1",NA,"@anna_debenham what was the php jquery hack?"
"EDFnD","Week 2",NA,"jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/"
"EDFnD","Week 1",NA,"Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5"
"3JLvN","Week 3","HcpuS","Warren Buffet on the economy http://ping.fm/Lau0p"
"HcpuS","Week 3","i53qc","All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host.. http://bit.ly/qltJA"
"oaxTQ","Week 2",NA,"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ..."
"07afq","Week 5","GNnWT","Man accosts Roger Federer during French Open http://ff.im/3HCPT"
"25G3c","Week 1",NA,"Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme"
"j7Bci","Week 5",NA,"I'm going to bed. It was a successful weekend. Stanford, here I come."
"gXTTp","Week 3",NA,"Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc"
"5XnVy","Week 5",NA,"@mattcutts have google profiles stopped showing up in searches? cant see them anymore"
"GDdMt","Week 4",NA,"Any twitter to aprs apps yet?"
"tVYJM","Week 4",NA,"45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ"
"5XnVy","Week 1",NA,"Share: Disruption...Fred Wilson's slides for his talk at Google HQ  http://bit.ly/Bo8PG"
"25G3c","Week 3","EDFnD","ok.. do nothing.. just thinking about 40D"
"s4lda","Week 1","3JLvN","RT @justindavey: RT @tweetmeme GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed http://bit.ly/16szL1"
"KOxaL","Week 4","j7Bci","breakers. in San Francisco, CA http://loopt.us/4v88Bw.t"
"25G3c","Week 6","07afq","Heading to San Francisco"
"07afq","Week 1",NA,"How do you use the twitter API?... http://bit.ly/4VBhH"
"CJpca","Week 1",NA,"testing Twitter API"
"GNnWT","Week 4","O6lGC","Testing Twitter API. Remote Update"
"GDdMt","Week 1","hm3b7","New blog post: Nike Zoom LeBron Soldier 3 (III) - White / Black - Teal http://bit.ly/rouUS"
"rlWpN","Week 4","tVYJM","New blog post: Nike Trainer 1 http://bit.ly/394bp"
"Y01Vp","Week 4",NA,"#jobs #sittercity Help with taking care of sick child (East Palo Alto, CA) http://tinyurl.com/qwrr2m"
"O6lGC","Week 3","rlWpN","#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd"
"07afq","Week 4","PADP0","Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship"
"CJpca","Week 4","IB4pa","Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629"
"rlWpN","Week 3",NA,"Adobe CS4 commercial by Goodby Silverstein: http://bit.ly/1aikhF"
"IB4pa","Week 2",NA,"Watching a programme about the life of Hitler, its only enhancing my geekiness of history."
"1r2qs","Week 2","oaxTQ","@pambeeslyjenna Jenna, I went to see Night At The Museum 2 today and I was so surprised to see three cast members from The Office..."
"tVYJM","Week 6","GDdMt","About to watch Night at the Museum with Ryan and Stacy"
